Term:English,Description:English,Part:English,Term:Afrikaans,Description:Afrikaans,Term:Amharic,Description:Amharic,Term:Arabic,Description:Arabic,Term:Bengali,Description:Bengali,Term:Bengali (India),Description:Bengali (India),Term:Bulgarian,Description:Bulgarian,Term:Catalan,Description:Catalan,Term:Chinese Simplified,Description:Chinese Simplified,Term:Czech,Description:Czech,Term:Danish,Description:Danish,Term:Dutch,Description:Dutch,Term:Finnish,Description:Finnish,Term:French,Description:French,Term:German,Description:German,Term:Greek,Description:Greek,Term:Haitian Creole,Description:Haitian Creole,Term:Hausa,Description:Hausa,Term:Hebrew,Description:Hebrew,Term:Hindi,Description:Hindi,Term:Hungarian,Description:Hungarian,Term:Igbo,Description:Igbo,Term:Indoensian,Description:Indoensian,Term:Italian,Description:Italian,Term:Japanese,Description:Japanese,Term:Korean,Description:Korean,Term:Nepali,Description:Nepali,Term:Norwegian,Description:Norwegian,Term:Oromo,Description:Oromo,Term:Persian,Description:Persian,Term:Polish,Description:Polish,Term:Portuguese,Description:Portuguese,Term:Portuguese (Brazilian),Description:Portuguese (Brazilian),Term:Romanian,Description:Romanian,Term:Russian,Description:Russian,Term:Serbian (Cyrillic),Description:Serbian (Cyrillic),Term:Shona,Description:Shona,Term:Sinhala,Description:Sinhala,Term:Spanish (Modern),Description:Spanish (Modern),Term:Swahili,Description:Swahili,Term:Swedish,Description:Swedish,Term:Telugu,Description:Telugu,Term:Thai,Description:Thai,Term:Turkish,Description:Turkish,Term:Ukranian,Description:Ukranian,Term:Urdu (Pakistan),Description:Urdu (Pakistan),Term:Vietnamese,Description:Vietnamese,Term:Yoruba,Description:Yoruba,Term:Zulu,Description:Zulu
asset,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ресурс,составная часть сайта: текстовые файлы графика видео базы данных и др. В узком смысле «статический ресурс»: стили скрипты оформительская графика в противоположность динамическому содержимому,,,,,,,recursos,,,,,,,,,,,,,,,,,,,,,
breakpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,interrupción,,,,,,,,,,,,,,,,,,,,,
buffer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,búfer,,,,,,,,,,,,,,,,,,,,,
built-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,incorporado,,,,,,,,,,,,,,,,,,,,,
caption,,NOUN,,,,,,,ক্যাপশন,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sottotitolo,,キャプション / 字幕 / 説明文,文脈によっては「字幕」「説明文」とした方が分かりやすそうですが、特にアクセシビリティの分野では、キャプションと字幕は厳密には異なるようなので、必要に応じて使い分けてください。,,,,,,,,,,,,,,,,,,,,,,,,,,,leyenda/epígrafe,General HTML,,,,,,,,,başlık,,,,,,,,,,,
chart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tabella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gráfico,,,,,,,,,,grafik,,,,,,,,,,,
checkbox,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,по русски значит флажок,,,,,,,casilla de verificación,,,,,,,,,,,,,,,,,,,,,
click,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,click,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clic,,,,,,,,,,,,,,,,,,,,,
closure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cláusula,,,,,,,,,,,,,,,,,,,,,
code snippet,snippet - a small piece or brief extract,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frammento di codice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fragmento de código ,,,,,,,,,,,,фрагмент коду,,,,,,,,,
cross axis,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,交差軸,CSS のフレックスアイテムの配置を説明する時,,,,,,,,,,,,,,,,,,,,,,,,,,,eje transversal,,,,,,,,,,,,,,,,,,,,,
curly braces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,parentesi graffe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,llaves,,,,,,,,,,,,фігурні дужки,,,,,,,,,
debug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,debug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,depurar,,,,,,,,,,,,,,,,,,,,,
debugging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,debugging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,depuración,,,,,,,,,,,,,,,,,,,,,
devtools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,strumenti per sviluppatori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,herramientas del desarrollador,,,,,,,,,,,,,,,,,,,,,
dot notation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,notazione punto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,notación de puntos,,,,,,,,,,,,,,,,,,,,,
embed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,integrare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,insertar,,,,,,,,,,,,,,جُرنا,,,,,,,
equality operator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operatore di uguaglianza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operador de igualdad,,,,,,,,,,,,оператор рівності,,,,,,,,,
figure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,figura,,,,,,,,,,,,,,,,,,,,,
font degradation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,degradación de fuentes,,,,,,,,,,,,,,,,,,,,,
footer,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,footer,,フッター,HTML の <footer> 要素を指すとき,,,,,,,,,,,,,,,,,,,,,,,,,,,pie de página,,,,,,,,,,,,,,,,,,,,,
graceful degradation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,degradación elegante,,,,,,,,,,,,,,,,,,,,,
grid,,NOUN,,,,,,,,গ্রিড,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,griglia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cuadrícula,,,,,,,,,,,,сітка,,,,,,,,,
gutter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,canal,,,,,,,,,,,,,,,,,,,,,
headings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,títulos,,,,,,,,,,,,,,,,,,,,,
host,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alojar,,,,,,,,,,,,,,,,,,,,,
hosting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alojamiento,,,,,,,,,,,,,,,,,,,,,
hue,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,цветовой тон,,,,,,,,tono,,,,,,,,,,,,,,,,,,,,,
if statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sentencia if,,,,,,,,,,,,,,,,,,,,,
keyframes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fotogramas clave,,,,,,,,,,,,,,,,,,,,,
link,,NOUN,,,,,,,লিংক,,,,,,enllaç,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ссылка,,,,,,,enlace,,,,,,,,,,bağlantı,,посилання,,ملانا,,,,,,,
logical operators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operatori logici,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operadores lógicos ,,,,,,,,,,,,,,,,,,,,,
loop,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ciclo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bucle,,,,,,,,,,,,цикл,,,,,,,,,
map,,,,,,,,,,,,,,,,,映射,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,asignar,,,,,,,,,,,,,,,,,,,,,
markup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,formattazione,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,código ,,,,,,,,,,biçimlendirme,,,,,,,,,,,
markup language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,linguaggio di formattazione,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lenguaje de marcado,,,,,,,,,,,,,,,,,,,,,
merge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fusionar,,,,,,,,,,,,,,,,,,,,,
nested objects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oggetti annidati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,objetos anidados,,,,,,,,,,,,,,,,,,,,,
offset,,VERB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,desplazamiento,,,,,,,,,,,,компенсувати,,,,,,,,,
placeholder text,The placeholder attribute specifies a short hint that describes the expected value of an input field (e.g. a sample value or a short description of the expected format). The short hint is displayed in the input field before the user enters a value.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,текст-заполнитель,,,,,,,,texto provisional,,,,,,,,,,,,заповнювач (плейсхолдер),,,,,,,,,
portfolio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,portfolio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,portafolio,,,,,,,,,,,,,,,,,,,,,
proofread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,revisar,,,,,,,,,,,,,,,,,,,,,
proofreaders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,equipo de revisión ,,,,,,,,,,,,,,,,,,,,,
reserved word,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,palabra reservada,,,,,,,,,,,,,,,,,,,,,
responsive design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,design responsivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diseño responsivo,,,,,,,,,,,,,,,,,,,,,
router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enrutador,,,,,,,,,,,,,,,,,,,,,
scope,ambito di applicazione,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ambito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ambito,,,,,,,,,,,,,,,,,,,,,
shorthand property,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一括指定プロパティ,「flex: 1 0 10px,」のように、CSSで複数のプロパティを一括指定する記法を指す,,,,,,,,,,,,,,,,,,,,,,,,,,,propiedad abreviada,,,,,,,,,,,,,,,,,,,,
single quotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,virgolette singole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,comillas simples,,,,,,,,,,,,,,,,,,,,,
split,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,division/dividir,,,,,,,,,,,,,,,,,,,,,
string,A list of characters ,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,chaîne de caractères,,,,,,,,,,,,,,,,,,,,stringa,,,,,,,,,,,,رشته,لیستی از کاراکتر ها,,,,,,,,,,,,,,,,,cadena,,,,,,,,,,,,рядковий тип,,,,,,,,,
submit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enviar,,,,,,,,,,,,,,,,,,,,,
tag,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,Tag,,,,,,,,,,,,,,,,,,tag,,,,,,,,,,,,تگ,,,,,,,,,,,тег,,,,,,,etiqueta,,,,,,,,,,etiket,,теґ,,ٹیگ,,,,,,,
tuple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tupla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tupla,,,,,,,,,,,,,,,,,,,,,
Yay!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evviva!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,¡Excelente!,,,,,,,,,,,,,,,,,,,,,
build,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,compilación,,,,,,,,,,,,,,,,,,,,,
switch statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,istruzione switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,declaración switch,,,,,,,,,,,,,,,,,,,,,
clickable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cliccabile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cliqueable,,,,,,,,,,,,,,,,,,,,,
own properties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,propiedades directas,,,,,,,,,,,,,,,,,,,,,
color wheel,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,Farbkreis,,,,,,,,,,,,,,,,,,ruota dei colori,,カラーホイール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Innenabstand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
typecast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conversione di tipo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pseudocode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pseudocodice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type Coercion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conversione implicita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Перетворення Типів,,,,,,,,,
Greater Than Operator,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operatore di maggioranza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,оператор «більше ніж»,,,,,,,,,
throw,genera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
popped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,estratto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,виведення,,,,,,,,,
entries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,elementi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radix,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,base,,,,,,,,,,,,,,,,,,,,,,основание,основание системы счисления,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meaning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,significato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,مطلب,,,,,,,
box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,riquadro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyan,,ADJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cyan,,,,,,,,,,,,,,,,,Ciano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grün,,,,,,,,,,,,,,,,,Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relational Databases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relationale Datenbanken,,,,,,,,,,,,,,,,,Database Relazionali,,,,,,,,,,,,,,,,,,Banco de dados Relacionais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
container,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,contenitore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pattern,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,schema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,шаблон,,,,,,,,,
user story,user story,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ユーザーストーリー,コースの最後のプロジェクトの説明に使用される場合,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
typecasting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conversione di tipo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type coercion,conversione implicita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aviary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,voliera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accessed,,,,,,,,,এক্সেস,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,consultato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
regex,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,espressione regolare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,регулярний вираз,,,,,,,,,
screen readers,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lettori dello schermo,,,,,,,,,,,,,,,,,,,,,,экранные считывающие устройства,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
сheckboxes,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,caselle di spunta,,,,,,,,,,,,,,,,,,,,,,,-> флажки,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radio Button,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pulsanti di opzione,,,,,,,,,,,,,,,,,,,,,,,"переключатель (жарг. радиокнопка) - элемент формы <input type=""radio""> для выбора одного варианта из нескольких",,,,,,,boton de radio,,,,,,,,,,,,радіокнопка,,,,,,,,,
thread,,NOUN,,,,,,,,,,,,,,,主题,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discussione,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyphenated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sillabate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lightness,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,яркость,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
required,,,,,,,,,,,,,,,,,引入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,obbligatorio,,,,,,,,,,,,,,,,,,,,,,,required html-атрибут,,,,,,,,,,,,,,,,,,,,,,,,,,,,
As a reminder,,,,,,,,,,,,,,,,,请注意,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Come promemoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attribute,,NOUN,,,,,,,এট্রিবিউট,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,attributo,,属性,HTML タグの attribute を指すとき,,,,,,,,,,,,,,,,,,,атрибут,это дополнительные значения которые настраивают элементы или регулируют их поведение различным способом чтобы соответствовать критериям пользователей.,,,,,,,atributo,Característica de un componente,,,,,,,,,,,Атрибут,,,,,,,,,
opening tag,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tag di apertura,,開始タグ,,,,,,,,,,,,,,,,,,,,открывающий тег,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accessibility,,NOUN,,,,,,,এক্সেসিবিলিটি,,,,,,,,,,,,,,,,,,,,Barrierefreiheit,,,,,,,,,,,,,,,,,,accessibilità,,アクセシビリティ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,رسائی,,,,,,,
ternary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ternario,,,,,,,,,,,,,,,,,,,,,,тернарный,тройной/троичный оператор,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Случай,,,,,,,,,,,,,,,,,,,регістр,,,,,,,,,
decrement,decrease count by one,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,decremento,,,,,,,,,,,,,,,,,,,,,,декремент,понижение счетчика на единицу,,,,,,,,,,,,,,,,,,,,,,,,,,,,
increment,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,incremento,,,,,,,,,,,,,,,,,,,,,,инкремент,приращение счетчика,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forEach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,forEach,,,,,,,,,,,,,,,,,,,,,,forEach,элемент функции,,,,,,,,,,,,,,,,,,,,,,,,,,,,
web page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pagina web,,,,,,,,,,,,,,,,,,,,,,веб-страница,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anchor text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,текст привязки/якоря ссылки,,,,,,,,,,,,,,,,,,,якірний текст,,,,,,,,,
unordered list,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lista non ordinata,,順序なしリスト,HTML の <ul> 要素で作られるリストを指すとき,,,,,,,,,,,,,,,,,,,,неупорядоченный список,,,,,,,,,,,,,,,,,,,,,,,,,,,,
border-radius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,border-radius,CSS-свойство не переводится,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,,,,,,,,,আইডি,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,id,,,,,,,,,,,,,,,,,,,,,,,идентификатор,,,,,,,,,,,,,,,,,,,,,,,,,,,,
should return,,VERB,,,,,,,,,,,,,,,,,,,,,,,,,devrait retourner,,,,,,,,,,,,,,,,,,,,dovrebbe restituire,,,,,,,,,,,,,,,,,,,,,,Должен возвращать,,,,,,,,,,,,,,,,,,,,повинен повертатися як,,,,,,,,,
Responsive,,NOUN,,,,,,,,প্রতিক্রিয়া দানকারী,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Responsivo,,,,,,,,,,,,,,,,,,,,,,,-> про адаптивность,,,,,,,,,,,,,,,,,,,,,,,,,,,,
styled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-> оформлен стилизован,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGB,,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RGB,,,,,,,,,,,,,,,,,,,,,,RGB,цветовая модель,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pseudo-class,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pseudo-classe,,,,,,,,,,,,,,,,,,,,,,,псевдокласс,,,,,,,,,,,,,,,,,,,,,,,,,,,,
break point,,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,точка прерывания,,,,,,,,,,,,,,,,,,,,,,,,,,,,
